Dgraph Name,New Name,createdTimeNewTag
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA501A_AHURunningIndication.Ind.stVal,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA501A_AHURunningIndication.Ind.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA501A.Spd.mag,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA501A.Spd.mag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA501B_AHURunningIndication.Ind.stVal,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA501B_AHURunningIndication.Ind.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA502A_AHURunningIndication.Ind.stVal,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA502A_AHURunningIndication.Ind.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA502A.Spd.mag,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA502A.Spd.mag,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA502B_AHURunningIndication.Ind.stVal,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA502B_AHURunningIndication.Ind.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA503A_AHURunningIndication.Ind.stVal,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA503A_AHURunningIndication.Ind.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA503A.Spd.mag,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA503A.Spd.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA503B_AHURunningIndication.Ind.stVal,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA503B_AHURunningIndication.Ind.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA504A_AHURunningIndication.Ind.stVal,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA504A_AHURunningIndication.Ind.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA504A.Spd.mag,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA504A.Spd.mag,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GA504B_AHURunningIndication.Ind.stVal,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GA504B_AHURunningIndication.Ind.stVal,2024-02-29 23:59:59.999999
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GH501A_DehumidifierRunningIndication.Ind.stVal,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GH501A_DehumidifierRunningIndication.Ind.stVal,2024-03-01 23:59:59.999999
DBA.OCS.OFTO.HVDC.Climate System Valve Hall.C80GH501B_DehumidifierRunningIndication.Ind.stVal,DBA.OCS.OFTO.HVDC.ClimateSystemValveHall.C80GH501B_DehumidifierRunningIndication.Ind.stVal,2024-03-01 23:59:59.999999
